,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户认证信息,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
14,5155301919035229,7682764645,2025-04-14 12:01:44,"<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自广东,5155302265853050,0,0,[抱一抱][打call],2995875260,乐与怒WGI,https://weibo.com/u/2995875260,人生若只如初见,广东 茂名,m,81,1911,1458,,,,,
15,5155301919035229,7682764645,2025-04-15 01:06:18,"做个清醒的糊涂人<img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" />",来自福建,5155499713757399,1,0,做个清醒的糊涂人[举手],7477652007,Kepler_甜恩秋韵,https://weibo.com/u/7477652007,小小世界 多多至上@MIC檀健次JC-T,河南,f,13463,1093,3888,超话粉丝大咖（曹恩齐超话）,"45,084","2,951,264","10,560","3,006,908"
16,5155301919035229,7682764645,2025-04-16 12:30:01,足底yyds,来自广东,5156034159576388,0,0,足底yyds,6059019437,汪汪汪汪汪汪汪汪2,https://weibo.com/u/6059019437,.,广东 梅州,m,27,125,5,,1,0,2,3
17,5155301919035229,7682764645,2025-04-15 11:44:36,"<img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" /><img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" />",来自广东,5155660343021580,0,0,[666][666],5596069382,m0__b,https://weibo.com/u/5596069382,,江西 九江,m,925,1213,154,,,,,
18,5155301919035229,7682764645,2025-04-16 13:42:01,AUPXAD总有人间一辆风,来自江苏,5156052278446299,0,1,AUPXAD总有人间一辆风,7992202423,fnBm膛抡盘g,https://weibo.com/u/7992202423,,其他,m,11,14,0,,0,0,0,0
19,5155301919035229,7682764645,2025-04-15 22:48:07,天下LPNNSH太平,来自四川,5155827322984592,0,1,天下LPNNSH太平,7992371966,rjuHi度芽谖,https://weibo.com/u/7992371966,,其他,m,37,8,0,,0,0,0,0
20,5155301919035229,7682764645,2025-04-15 22:00:53,谁要s,来自湖北,5155815436064755,0,0,谁要s,7979538684,包子_199112,https://weibo.com/u/7979538684,,其他,m,138,6,0,,0,0,0,0
21,5155301919035229,7682764645,2025-04-14 16:52:20,优雅,来自四川,5155375399043879,0,0,优雅,7701938189,小棠学姐,https://weibo.com/u/7701938189,投 稿 私 信 ！,其他,f,38247,101,3364,颜值博主,"6,245","3,098","63,022","72,365"
22,5155301919035229,7682764645,2025-04-14 15:14:24,"是极光肤色吧<img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" /><img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" /><img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" />",来自甘肃,5155350752791460,0,0,是极光肤色吧[舔屏][舔屏][舔屏],5219067127,Lloveyou威,https://weibo.com/u/5219067127,,北京 东城区,m,160,18,2,,1,0,2,3
23,5155301919035229,7682764645,2025-04-17 13:48:05,GSNTEC总有人间一辆风,来自浙江,5156416194088851,0,1,GSNTEC总有人间一辆风,7992202854,fgsly准捍倚,https://weibo.com/u/7992202854,,其他,m,44,17,0,,0,0,0,0
24,5155301919035229,7682764645,2025-04-16 22:26:49,云游VFPWGL四海,来自浙江,5156184348952246,0,1,云游VFPWGL四海,7993227485,aQNB缺采匣u,https://weibo.com/u/7993227485,,其他,m,25,7,0,,0,0,0,0
25,5155301919035229,7682764645,2025-04-14 21:06:46,温柔CBUYBE体贴,来自浙江,5155439427717032,0,0,温柔CBUYBE体贴,7992139371,riONs谱扒诿,https://weibo.com/u/7992139371,,其他,m,21,8,0,,0,0,0,0
